,Unnamed: 0,Unnamed: 0.1,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
77,77,1965,930053917701836800,devmuraribapu65,2017-11-13 12:45:08,127,92,147.0,"Vrindavan, India",0.03333333333333333,0.6333333333333333,0.7,0.03333333333333333,0.7,22,0,2019-04-23 14:45:45,148.0,526.0837615740741,0.041818435783257564,0.24,3.578801099143361
78,78,1987,962967264680202240,wpl1090,2018-02-12 08:31:01,103,3297,4.0,"Uttar Pradesh, India",0.0,0.2,3.4,0.8,2.7333333333333334,758,0,2019-04-23 14:45:45,5.0,435.26023148148147,1.741486920181105,0.23,108.81505787037037
79,79,2017,78858865,927BIGFM,2009-10-01 09:41:17,60,301908,441.0,INDIA,0.9666666666666668,0.9,0.7,5.233333333333333,10.733333333333333,19524,0,2019-04-23 14:45:45,442.0,3491.211435185185,5.592328153841644,0.06,7.916579218106996
80,80,2047,842434250272079872,BPRDIndia,2017-03-16 17:55:51,160,6051,152.0,India,0.5666666666666667,0.7333333333333333,0.5666666666666667,15.633333333333333,6.966666666666668,1118,0,2019-04-23 14:45:45,153.0,767.8679861111111,1.455979439463471,0.18,5.051763066520468
81,81,2077,1003874882357223424,fireserviceup,2018-06-05 05:43:17,91,332,41.0,"Lucknow, India",0.13333333333333333,0.6666666666666666,0.06666666666666668,22.93333333333333,21.0,11,0,2019-04-23 14:45:45,42.0,322.376712962963,0.03412157130984756,0.03,7.862846657633243
82,82,2088,122658025,RajatSharmaLive,2010-03-13 12:52:17,39,3330365,22.0,Delhi,0.26666666666666666,1.0,0.9666666666666668,261.3,1022.8333333333336,5163,0,2019-04-23 14:45:45,23.0,3328.0787962962963,1.5513454806856508,0.0,151.2763089225589
83,83,2118,136172389,skochgroup,2010-04-23 06:11:43,123,28472,250.0,India,1.1666666666666667,5.0,2.5,16.666666666666668,44.83333333333334,3045,0,2019-04-23 14:45:45,251.0,3287.356967592593,0.926276041822718,0.11,13.14942787037037
84,84,2208,1535907986,Etahpolice,2013-06-21 06:46:43,129,13714,169.0,"Etah, UP, India",0.5,0.3,2.0,17.633333333333333,1.3666666666666667,30895,0,2019-04-23 14:45:45,170.0,2132.332662037037,14.488827447067157,2.25,12.617353029804953
85,85,2238,1469482477,digbasti,2013-05-30 10:51:55,140,11595,11.0,0,0.3666666666666665,0.3333333333333333,1.2333333333333334,160.53333333333333,5.366666666666666,1098,0,2019-04-23 14:45:45,12.0,2154.1623842592594,0.5097108778907415,0.09,195.83294402356904
86,86,2268,4833521534,digdevipatan,2016-01-30 05:05:14,151,2014,121.0,0,0.7666666666666667,0.43333333333333335,2.3666666666666667,104.8,2.0,4785,0,2019-04-23 14:45:45,122.0,1179.403136574074,4.057136912404228,2.38,9.747133360116315
87,87,2298,2959280540,digmirzapur,2015-01-05 07:01:17,160,17353,205.0,"मिर्जापुर-विन्ध्याचल, भारत",0.5333333333333333,0.13333333333333333,2.1,57.16666666666666,0.0,7394,0,2019-04-23 14:45:45,206.0,1569.3225462962962,4.711587186107995,0.43,7.655231933152664
88,88,2328,1469471533,ADGZonPrayagraj,2013-05-30 10:44:22,146,30020,236.0,"ADGOffice AshokNagar,Allahabad",0.3666666666666665,0.3666666666666665,2.2666666666666666,70.4,4.5,9325,0,2019-04-23 14:45:45,237.0,2154.167627314815,4.328818185622666,0.31,9.127828929300064
89,89,2358,1476714007,adgzonevaranasi,2013-06-02 07:47:55,141,33446,75.0,IG OFFICE VARANASI,0.13333333333333333,0.13333333333333333,3.1333333333333333,7.1,0.3666666666666665,57081,0,2019-04-23 14:45:45,76.0,2151.290162037037,26.533380297686353,1.71,28.683868827160495
